"id","property_code","property_serial","offer_type","title","description","property_type","location","allocation_status","assigned_to","price","created_at","image","land_area","builtup_area","floor_area","no_of_floors","bedrooms","bedrooms_ac","bedrooms_non_ac","bathrooms","parking_spaces","built_year","furnishing_status","features","owner_id","updated_at","deleted_at","latitude","longitude","city","district","project_id","rental_yield","lease_term_months","maintenance_cost","commission_percent"
"30","RA-000001","1","rent","Elelments...............................................................................","32D","apartment","Rajagiriya","unallocated","2","380000.00","2026-03-15 19:25:57","/uploads/properties/prop_69b6bb12435d2.jpg",NULL,NULL,"1680.00","35","3","3",NULL,"3","2","2019","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_single"", ""electricity_three"", ""fire_alarm""]","18","2026-05-18 20:01:01",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"31","RA-000002","2","rent","CCC 2 bedrooms rent colombo 2","27th floor type 03","apartment","Colombo 2","unallocated","2","650000.00","2026-03-15 19:48:56","/uploads/properties/prop_69b6bfd04a183.jpeg",NULL,NULL,"1100.00","47","2","2",NULL,"2","1","2020",NULL,"[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","19","2026-04-22 10:25:48",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"32","RA-000003","3","rent","Cinnamon life 2 bedrooms rent","27th floor type 5","apartment","Colombo 2","unallocated","2","600000.00","2026-03-15 20:02:22","/uploads/properties/prop_69b6c2f65a403.jpg",NULL,NULL,"1267.00","45","2","2",NULL,"2","1","2024",NULL,"[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","21","2026-04-22 10:25:48",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"33","RA-000004","4","rent","Cinnamon life residence 2 bedrooms Colombo 2 rent","Residence tower 28th floor type 1 for rent","apartment","Colombo 2","unallocated","2","600000.00","2026-03-15 20:08:42","/uploads/properties/prop_69b6c472126e2.jpg",NULL,NULL,"1267.00","45","2","2",NULL,"2","1","2024","fully_furnished","[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","22","2026-04-22 10:25:48",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"34","RA-000005","5","rent","Cinnamon life 2 bedrooms Residence Colombo 2 rent","9th floor rent","apartment","Colombo 2","unallocated","2","530000.00","2026-03-15 20:25:40","/uploads/properties/prop_69b6c86c3ea81.jpg",NULL,NULL,"1267.00","45","2","2",NULL,"2","1","2024","fully_furnished","[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","23","2026-04-22 10:25:48",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"35","RA-000006","6","rent","Altair 3bedrooms Colombo 2 rent","2oth floor F type","apartment","Colombo 2","unallocated","2","600000.00","2026-03-15 20:38:47","/uploads/properties/prop_69b6cb7e9cfd7.jpg",NULL,NULL,"1468.00","65","3","3",NULL,"2","1","2021","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","24","2026-04-22 10:25:48",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,NULL,NULL,NULL
"36","RA-000007","7","rent","Clearpoint 3 bedrooms Rajagiriya Rent","27th floor A type apartment","apartment","Rajagiriya","unallocated","2","775000.00","2026-03-15 20:49:57","/uploads/properties/prop_69b6ce1d99b18.jpeg",NULL,NULL,"2400.00",NULL,"3","3",NULL,"3","2","2017","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_solar"", ""main_line_water"", ""electricity_three"", ""solar_power""]","25","2026-04-22 10:25:48",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"37","RA-000008","8","rent","Capital Heights 2 bedrooms rent Rajagiriya","30D2 Capital heights 2 bedrooms rent","apartment","Rajagiriya","unallocated","2","320000.00","2026-03-15 21:15:32","/uploads/properties/prop_69b6d41c2de4f.jpeg",NULL,NULL,"1180.00",NULL,"2","2",NULL,"2","1",NULL,"fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","26","2026-04-22 10:25:48",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"38","RA-000009","9","rent","Iconic Galaxy 2 bedrooms Rajagiriya - Rent","16th floor 12 type 2 bedrooms apartment rent","apartment","Rajagiriya","unallocated","2","330000.00","2026-03-15 21:34:17","/uploads/properties/prop_69b6d880bfae1.jpg",NULL,NULL,"1205.00","33","2","2",NULL,"2","1","2020","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","27","2026-04-22 10:25:48",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"39","RA-000010","10","rent","Iconic Galaxy 2 bedrooms Rajagiriya rent","12th floor Iconic galaxy","apartment","Rajagiriya","unallocated","2","350000.00","2026-03-15 21:39:09","/uploads/properties/prop_69b6d9a51a15a.jpg",NULL,NULL,"1205.00","33","2","2",NULL,"2","1","2020","fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","28","2026-04-22 10:25:48",NULL,NULL,NULL,"Rajagiriya","Colombo","13",NULL,NULL,NULL,NULL
